Spcode	Cover
ARRELA	1
ARRELA	1
ARRELA	2
ARRELA	1
ARRELA	1
ARRELA	1
ARRELA	2
ARRELA	4
ARRELA	2
BROERE	2.5
BROERE	3
BROERE	3
BROERE	2
BROERE	2
CONARV	1
CONARV	1
CONARV	1
CONARV	1
CONARV	0.5
CONARV	1
CONARV	1
CONARV	1
DACGLO	1
DACGLO	2
DACGLO	2
DACGLO	2
DACGLO	1
DACGLO	1
DACGLO	1
DAUCAR	3
DAUCAR	1
DAUCAR	1
ELYREP	1.5
ELYREP	1.5
ELYREP	1
ELYREP	2
GALVER	1
GALVER	2.5
GALVER	1
GALVER	1
GALVER	1
GALVER	1
GALVER	1.5
GERROT	1
LEUVUL	0.5
PLALAN	0.5
PLALAN	3
PLALAN	3
PLALAN	3
PLALAN	1
PLALAN	1
PLALAN	2
PLALAN	1.5
POAANG	2
POAPRA	1
RANACR	1
SALPRA	1
TAROFF	1
TAROFF	1
TRIPRA	1
ARRELA	2
ARRELA	1
ARRELA	2
ARRELA	3
ARRELA	1
ARRELA	2.5
BROERE	2
BROERE	2
BROERE	1
BROERE	3
BROERE	1
BROERE	2.5
DACGLO	2
DACGLO	1.5
DACGLO	1
DACGLO	1
DAUCAR	3
DAUCAR	0.5
DAUCAR	1
DAUCAR	1
FESRUB	4
FESRUB	2.5
FESRUB	2.5
FESRUB	2.5
GALVER	1
GALVER	2
GALVER	1
GALVER	1
GALVER	1
GALVER	2
PLALAN	1
PLALAN	2
PLALAN	1.5
PLALAN	2
PLALAN	1
POAANG	1
POAANG	1
POAANG	1
POAANG	1
POAANG	1
POAPRA	1
SALPRA	0.5
SONCHUS	0.5
TRIPRA	4
TRIPRA	1
TRIPRA	1
VERBOF	0.5
BROERE	0.5
BROERE	1
BROERE	1
BROERE	3
BROERE	1.5
CONARV	0.5
CONARV	0.5
CONARV	1
CONARV	1
DACGLO	1.5
DACGLO	2.5
DACGLO	2
DACGLO	4
DACGLO	2
DACGLO	1.5
DACGLO	2.5
DACGLO	1.5
DACGLO	0.5
DAUCAR	0.5
DAUCAR	0.5
DAUCAR	1.5
ELYREP	1
ELYREP	2
ELYREP	1
ELYREP	1
ELYREP	1.5
ELYREP	1.5
ELYREP	1.5
LOTCOR	2
LOTCOR	1
LOTCOR	1.5
LOTCOR	1
LOTCOR	1
LOTCOR	2.5
PLALAN	1
PLALAN	1
PLALAN	1
PLALAN	1
PLALAN	1
POAANG	1
POAANG	1
POAANG	0.5
POAANG	1
POAANG	0.5
POAANG	0.5
POAANG	0.5
RUMACE	1
RUMACE	1
SALPRA	0.5
SALPRA	0.5
SALPRA	0.5
TRICAM	2
ARRELA	1
ARRELA	2
ARRELA	3
ARRELA	1.5
ARRELA	2
ARRELA	1
BROERE	1
CONARV	0.5
CONARV	2
CONARV	1
CONARV	1
CONARV	1
CONARV	1
CONARV	1
DACGLO	2
DACGLO	2
DACGLO	1
DACGLO	2.5
DACGLO	1
DACGLO	2
DAUCAR	3
DAUCAR	0.5
ELYREP	1
LOLPER	1
LOLPER	1.5
LOLPER	1
LOLPER	1
LOLPER	1
