"time"	"date"	"block"	"treatment"	"datapoint"	"Focal"	"Cover"	"ACHMIL"	"ANTODO"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESARU"	"FESRUB"	"GALVER"	"GERDIS"	"GERROT"	"LEUVUL"	"LOLPER"	"LOTCOR"	"MEDARA"	"ONOREP"	"PICECH"	"PICHIE"	"PLALAN"	"POAANG"	"POAPRA"	"POATRI"	"RANACR"	"RUMACE"	"SALPRA"	"SONCHU"	"TAROFF"	"TRIFLA"	"TRIPRA"	"VERBOF"	"VERPER"	"legumes"	"grasses"	"other"	"Cb"	"Cd"	"Ci"	"Ee"	"Pg"	"Pp"
1	"Jun12"	1	"6sp"	1	"ARRELA"	10	0	0	20	85	0	30	0	40	30	25	0	0	0	10	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	1	"BROERE"	25	0	0	30	60	0	30	0	40	30	25	0	0	0	10	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	1	"CONARV"	10	0	0	30	85	0	20	0	40	30	25	0	0	0	10	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	1	"DACGLO"	10	0	0	30	85	0	30	0	30	30	25	0	0	0	10	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	1	"DAUCAR"	30	0	0	30	85	0	30	0	40	0	25	0	0	0	10	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	1	"ELYREP"	15	0	0	30	85	0	30	0	40	30	10	0	0	0	10	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	1	"GALVER"	10	0	0	30	85	0	30	0	40	30	25	0	0	0	0	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	1	"PLALAN"	5	0	0	30	85	0	30	0	40	30	25	0	0	0	10	0	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	2	"ARRELA"	10	0	0	40	55	0	35	0	60	30	30	0	0	0	45	0	10	5	0	0	0	0	0	0	65	0	10	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	2	"BROERE"	30	0	0	50	25	0	35	0	60	30	30	0	0	0	45	0	10	5	0	0	0	0	0	0	65	0	10	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	2	"CONARV"	10	0	0	50	55	0	25	0	60	30	30	0	0	0	45	0	10	5	0	0	0	0	0	0	65	0	10	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	2	"DACGLO"	20	0	0	50	55	0	35	0	40	30	30	0	0	0	45	0	10	5	0	0	0	0	0	0	65	0	10	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	2	"GERROT"	10	0	0	50	55	0	35	0	60	30	30	0	0	0	45	0	0	5	0	0	0	0	0	0	65	0	10	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	2	"TRIPRA"	10	0	0	50	55	0	35	0	60	30	30	0	0	0	45	0	10	5	0	0	0	0	0	0	65	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	3	"ARRELA"	20	0	0	20	30	0	30	0	60	10	0	0	0	0	35	0	10	5	0	0	0	0	0	0	60	0	0	0	10	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	3	"CONARV"	10	0	0	40	30	0	20	0	60	10	0	0	0	0	35	0	10	5	0	0	0	0	0	0	60	0	0	0	10	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	3	"DACGLO"	20	0	0	40	30	0	30	0	40	10	0	0	0	0	35	0	10	5	0	0	0	0	0	0	60	0	0	0	10	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	3	"GALVER"	25	0	0	40	30	0	30	0	60	10	0	0	0	0	10	0	10	5	0	0	0	0	0	0	60	0	0	0	10	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	3	"LEUVUL"	5	0	0	40	30	0	30	0	60	10	0	0	0	0	35	0	10	0	0	0	0	0	0	0	60	0	0	0	10	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	3	"PLALAN"	30	0	0	40	30	0	30	0	60	10	0	0	0	0	35	0	10	5	0	0	0	0	0	0	30	0	0	0	10	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	3	"TAROFF"	10	0	0	40	30	0	30	0	60	10	0	0	0	0	35	0	10	5	0	0	0	0	0	0	60	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	4	"ARRELA"	10	0	0	50	20	0	35	0	60	10	15	0	0	0	60	0	0	5	0	0	0	0	0	0	105	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	4	"CONARV"	10	0	0	60	20	0	25	0	60	10	15	0	0	0	60	0	0	5	0	0	0	0	0	0	105	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	4	"DACGLO"	20	0	0	60	20	0	35	0	40	10	15	0	0	0	60	0	0	5	0	0	0	0	0	0	105	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	4	"DAUCAR"	10	0	0	60	20	0	35	0	60	0	15	0	0	0	60	0	0	5	0	0	0	0	0	0	105	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	4	"GALVER"	10	0	0	60	20	0	35	0	60	10	15	0	0	0	50	0	0	5	0	0	0	0	0	0	105	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	4	"PLALAN"	30	0	0	60	20	0	35	0	60	10	15	0	0	0	60	0	0	5	0	0	0	0	0	0	75	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	4	"RANACR"	10	0	0	60	20	0	35	0	60	10	15	0	0	0	60	0	0	5	0	0	0	0	0	0	105	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	5	"ARRELA"	10	0	0	70	80	0	45	0	60	20	25	0	0	0	30	0	10	0	0	0	0	0	0	0	90	0	10	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	5	"CONARV"	5	0	0	80	80	0	40	0	60	20	25	0	0	0	30	0	10	0	0	0	0	0	0	0	90	0	10	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	5	"DACGLO"	10	0	0	80	80	0	45	0	50	20	25	0	0	0	30	0	10	0	0	0	0	0	0	0	90	0	10	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	5	"ELYREP"	15	0	0	80	80	0	45	0	60	20	10	0	0	0	30	0	10	0	0	0	0	0	0	0	90	0	10	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	5	"GALVER"	10	0	0	80	80	0	45	0	60	20	25	0	0	0	20	0	10	0	0	0	0	0	0	0	90	0	10	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	5	"PLALAN"	30	0	0	80	80	0	45	0	60	20	25	0	0	0	30	0	10	0	0	0	0	0	0	0	60	0	10	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	5	"POAPRA"	10	0	0	80	80	0	45	0	60	20	25	0	0	0	30	0	10	0	0	0	0	0	0	0	90	0	0	0	10	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	6	"ARRELA"	10	0	0	40	55	0	25	0	30	30	60	0	0	0	30	0	0	0	0	0	0	0	0	0	55	20	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	6	"BROERE"	30	0	0	50	25	0	25	0	30	30	60	0	0	0	30	0	0	0	0	0	0	0	0	0	55	20	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	6	"CONARV"	10	0	0	50	55	0	15	0	30	30	60	0	0	0	30	0	0	0	0	0	0	0	0	0	55	20	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	6	"DACGLO"	10	0	0	50	55	0	25	0	20	30	60	0	0	0	30	0	0	0	0	0	0	0	0	0	55	20	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	6	"ELYREP"	10	0	0	50	55	0	25	0	30	30	50	0	0	0	30	0	0	0	0	0	0	0	0	0	55	20	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	6	"PLALAN"	10	0	0	50	55	0	25	0	30	30	60	0	0	0	30	0	0	0	0	0	0	0	0	0	45	20	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	7	"ARRELA"	20	0	0	50	50	0	20	0	10	10	30	0	0	0	20	0	0	0	0	0	0	0	0	0	40	20	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Jun12"	1	"6sp"	7	"ELYREP"	20	0	0	70	50	0	20	0	10	10	10	0	0	0	20	0	0	0	0	0	0	0	0	0	40	20	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
