"scenario"	"n"	"combos"	"SND"	"SFD"	"feasibility"	"cv"	"dominance"	"SKR"	"skewness"	"kurtosis"
1	3	"ARRELA_BROERE_CONARV"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_DACGLO"	0.234654913405308	157.123768223562	0	9.7922039156269	2.72287815418543	0.787035603606191	1.92671514054355	4.71672592166139
1	3	"ARRELA_BROERE_DAUCAR"	0.0130747762132058	155.461497169586	0	-1.35169569048545	0.550144910582003	-0.894834298566423	-0.668887276377332	-0.499992221147829
1	3	"ARRELA_BROERE_GALVER"	1.74414158631321	166.35247018873	0	4.92213908529457	1.12315399469065	0.845123351871809	2.29370771855033	6.22523929374912
1	3	"ARRELA_BROERE_PLALAN"	0.0641604502026285	148.132388157803	0	-2.48482213333326	1.41046256651174	-0.000454519833192733	0.0164349215481354	-0.594268118942191
1	3	"ARRELA_BROERE_TRIPRA"	0.218633732908183	162.12697028884	0	-1.66058229829884	1.16018761626933	-0.011121884722618	-0.121628890467132	-1.33013309931011
1	3	"ARRELA_BROERE_LEUVUL"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_TAROFF"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_RANACR"	0	165.223578130275	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_POAPRA"	0	156.82081997461	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_POAANG"	0.346304688484587	164.568103112989	0	-2.05251806359129	1.35855257245729	-0.190419645869332	-0.381131565158066	-0.762848125762806
1	3	"ARRELA_BROERE_SALPRA"	0	164.661567589901	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_CENJAC"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_FESARU"	0	154.237543985173	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_RUMACE"	8.31194619750059e-07	163.425675673358	0	-1.14284513611703	0.774844296795365	-0.0214347670349357	-0.188777829288129	-1.66258251245067
1	3	"ARRELA_BROERE_ERYNGE"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_ACHMIL"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_MEDARA"	0.0891311892143803	136.850301938808	0	-2.02476289374784	0.865640787382806	-5.0401793420515	0.624847446940015	-0.0774643728825207
1	3	"ARRELA_BROERE_FESRUB"	0.0281987776094765	172.133502123757	0	-0.914481698005518	0.664500568951417	-0.164827897313621	0.353471168444414	-0.758014079884365
1	3	"ARRELA_BROERE_LOTCOR"	1.01888203430186	163.173284885558	0	10.1584707315622	10.6746076007408	-0.292182305779825	-0.366802958175097	-0.4604810334661
1	3	"ARRELA_BROERE_CREPIS"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_ONOREP"	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_POATRI"	0.0401508351718386	159.106778954391	0	-1.17658841655519	0.403363812579899	-0.0204349357895987	-0.194204361106678	-1.84563016302942
1	3	"ARRELA_BROERE_PICECH"	0.0279065654377264	164.324040113299	0	-1.27082835390703	0.771597245287899	-0.0830119364890035	-0.376237645095442	-1.70523386845355
1	3	"ARRELA_BROERE_GERDIS"	0	130.872085640741	NA	NA	NA	NA	NA	NA
1	3	"ARRELA_BROERE_TRIFLA"	NA	NA	NA	NA	NA	NA	NA	NA
