"scenario"	"n"	"combos"	"SND"	"SFD"	"feasibility"
1	3	"ARRELA_BROERE_CONARV"	NA	NA	NA
1	3	"ARRELA_BROERE_DACGLO"	0.233060799958385	157.123768223562	0
1	3	"ARRELA_BROERE_DAUCAR"	0.0122373006964231	155.461497169586	0
1	3	"ARRELA_BROERE_GALVER"	1.74368449877297	166.35247018873	0
1	3	"ARRELA_BROERE_PLALAN"	0.0643028193442555	148.132388157803	0
1	3	"ARRELA_BROERE_TRIPRA"	0.219285500218903	162.12697028884	0
1	3	"ARRELA_BROERE_LEUVUL"	NA	NA	NA
1	3	"ARRELA_BROERE_TAROFF"	NA	NA	NA
1	3	"ARRELA_BROERE_RANACR"	0	165.223578130275	NA
1	3	"ARRELA_BROERE_POAPRA"	0	156.82081997461	NA
1	3	"ARRELA_BROERE_POAANG"	0.346598696068714	164.568103112989	0
1	3	"ARRELA_BROERE_SALPRA"	0	164.661567589901	NA
1	3	"ARRELA_BROERE_CENJAC"	NA	NA	NA
1	3	"ARRELA_BROERE_FESARU"	0	154.237543985173	NA
1	3	"ARRELA_BROERE_RUMACE"	2.8027358725955e-06	163.425675673358	0
1	3	"ARRELA_BROERE_ERYNGE"	NA	NA	NA
1	3	"ARRELA_BROERE_ACHMIL"	NA	NA	NA
1	3	"ARRELA_BROERE_MEDARA"	0.089338075750339	136.850301938808	0
1	3	"ARRELA_BROERE_FESRUB"	0.0272780367891111	172.133502123757	0
1	3	"ARRELA_BROERE_LOTCOR"	1.01869805742877	163.173284885558	0
1	3	"ARRELA_BROERE_CREPIS"	NA	NA	NA
1	3	"ARRELA_BROERE_ONOREP"	NA	NA	NA
1	3	"ARRELA_BROERE_POATRI"	0.0397625839711113	159.106778954391	0
1	3	"ARRELA_BROERE_PICECH"	0.0267124356818084	164.324040113299	0
1	3	"ARRELA_BROERE_GERDIS"	0	130.872085640741	NA
1	3	"ARRELA_BROERE_TRIFLA"	NA	NA	NA
1	3	"ARRELA_BROERE_VERPER"	0.0597442730578084	166.013277267811	0
1	3	"ARRELA_BROERE_ANTODO"	2.27179272634582	88.1450804010835	1
1	3	"ARRELA_CONARV_DACGLO"	NA	NA	NA
1	3	"ARRELA_CONARV_DAUCAR"	4	148.91180326013	NA
1	3	"ARRELA_CONARV_GALVER"	1.287274365789	167.439270681576	0
1	3	"ARRELA_CONARV_PLALAN"	4	128.401955224351	NA
1	3	"ARRELA_CONARV_TRIPRA"	NA	NA	NA
1	3	"ARRELA_CONARV_LEUVUL"	NA	NA	NA
1	3	"ARRELA_CONARV_TAROFF"	NA	NA	NA
1	3	"ARRELA_CONARV_RANACR"	NA	NA	NA
1	3	"ARRELA_CONARV_POAPRA"	NA	NA	NA
1	3	"ARRELA_CONARV_POAANG"	NA	NA	NA
1	3	"ARRELA_CONARV_SALPRA"	NA	NA	NA
1	3	"ARRELA_CONARV_CENJAC"	NA	NA	NA
1	3	"ARRELA_CONARV_FESARU"	NA	NA	NA
1	3	"ARRELA_CONARV_RUMACE"	NA	NA	NA
1	3	"ARRELA_CONARV_ERYNGE"	NA	NA	NA
1	3	"ARRELA_CONARV_ACHMIL"	NA	NA	NA
1	3	"ARRELA_CONARV_MEDARA"	NA	NA	NA
1	3	"ARRELA_CONARV_FESRUB"	NA	NA	NA
1	3	"ARRELA_CONARV_LOTCOR"	NA	NA	NA
1	3	"ARRELA_CONARV_CREPIS"	NA	NA	NA
1	3	"ARRELA_CONARV_ONOREP"	NA	NA	NA
1	3	"ARRELA_CONARV_POATRI"	NA	NA	NA
1	3	"ARRELA_CONARV_PICECH"	NA	NA	NA
1	3	"ARRELA_CONARV_GERDIS"	1.99937434077515	28.7131651951297	0
1	3	"ARRELA_CONARV_TRIFLA"	NA	NA	NA
1	3	"ARRELA_CONARV_VERPER"	NA	NA	NA
1	3	"ARRELA_CONARV_ANTODO"	NA	NA	NA
1	3	"ARRELA_DACGLO_DAUCAR"	0.003484539939915	148.6020929648	0
1	3	"ARRELA_DACGLO_GALVER"	0.0167663565180524	155.218942301659	0
1	3	"ARRELA_DACGLO_PLALAN"	0.264700368845753	130.559893964415	0
1	3	"ARRELA_DACGLO_TRIPRA"	0.0485610899421994	149.094653463905	0
1	3	"ARRELA_DACGLO_LEUVUL"	NA	NA	NA
1	3	"ARRELA_DACGLO_TAROFF"	0.952276429445414	139.049211888614	0
1	3	"ARRELA_DACGLO_RANACR"	0.00602804637340903	153.465975050258	0
